,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
145,bing,alexnet,bing,30/70,nonMath,0.87366956
146,bing,alexnet,bing,40/60,nonMath,0.90169495
147,bing,alexnet,bing,50/50,nonMath,0.91282564
148,bing,resnet,bing,20/80,nonMath,0.9128823
149,bing,resnet,bing,30/70,nonMath,0.9344811
150,bing,resnet,bing,40/60,nonMath,0.9490855
151,bing,resnet,bing,50/50,nonMath,0.94661194
152,bing,vgg,bing,20/80,nonMath,0.90564287
153,bing,vgg,bing,30/70,nonMath,0.9334619
154,bing,vgg,bing,40/60,nonMath,0.9510144
155,bing,vgg,bing,50/50,nonMath,0.95669687
156,bing,alexnet,google,20/80,nonMath,0.8145332
157,bing,alexnet,google,30/70,nonMath,0.8743625
158,bing,alexnet,google,40/60,nonMath,0.8866898
159,bing,alexnet,google,50/50,nonMath,0.8947906
160,bing,resnet,google,20/80,nonMath,0.88414353
161,bing,resnet,google,30/70,nonMath,0.9287446
162,bing,resnet,google,40/60,nonMath,0.93642783
163,bing,resnet,google,50/50,nonMath,0.94009215
164,bing,vgg,google,20/80,nonMath,0.8710247
165,bing,vgg,google,30/70,nonMath,0.9225556
166,bing,vgg,google,40/60,nonMath,0.9420579
167,bing,vgg,google,50/50,nonMath,0.93860984
168,bing,alexnet,bing,20/80,saltPepper,0.84534264
169,bing,alexnet,bing,30/70,saltPepper,0.87224257
170,bing,alexnet,bing,40/60,saltPepper,0.89437985
171,bing,alexnet,bing,50/50,saltPepper,0.9089069
172,bing,resnet,bing,20/80,saltPepper,0.91596645
173,bing,resnet,bing,30/70,saltPepper,0.92942864
174,bing,resnet,bing,40/60,saltPepper,0.9504173
175,bing,resnet,bing,50/50,saltPepper,0.95077074
176,bing,vgg,bing,20/80,saltPepper,0.9159585
177,bing,vgg,bing,30/70,saltPepper,0.9318511
178,bing,vgg,bing,40/60,saltPepper,0.9492861
179,bing,vgg,bing,50/50,saltPepper,0.9532898
180,bing,alexnet,google,20/80,saltPepper,0.84154934
181,bing,alexnet,google,30/70,saltPepper,0.87181854
182,bing,alexnet,google,40/60,saltPepper,0.88691354
183,bing,alexnet,google,50/50,saltPepper,0.8888889
184,bing,resnet,google,20/80,saltPepper,0.88458073
185,bing,resnet,google,30/70,saltPepper,0.92877764
186,bing,resnet,google,40/60,saltPepper,0.9363591
187,bing,resnet,google,50/50,saltPepper,0.9390244
188,bing,vgg,google,20/80,saltPepper,0.9035533
189,bing,vgg,google,30/70,saltPepper,0.92915654
190,bing,vgg,google,40/60,saltPepper,0.94474864
191,bing,vgg,google,50/50,saltPepper,0.93718344
192,bing,alexnet,bing,20/80,surrogate,0.852547
193,bing,alexnet,bing,30/70,surrogate,0.8720293
194,bing,alexnet,bing,40/60,surrogate,0.8997578
195,bing,alexnet,bing,50/50,surrogate,0.8980198
196,bing,resnet,bing,20/80,surrogate,0.91674465
197,bing,resnet,bing,30/70,surrogate,0.9307214
198,bing,resnet,bing,40/60,surrogate,0.9463415
199,bing,resnet,bing,50/50,surrogate,0.9525222
200,bing,vgg,bing,20/80,surrogate,0.91639113
201,bing,vgg,bing,30/70,surrogate,0.93567246
202,bing,vgg,bing,40/60,surrogate,0.9475247
203,bing,vgg,bing,50/50,surrogate,0.9545913
204,bing,alexnet,google,20/80,surrogate,0.8081565
205,bing,alexnet,google,30/70,surrogate,0.8672485
206,bing,alexnet,google,40/60,surrogate,0.88150716
207,bing,alexnet,google,50/50,surrogate,0.8873967
208,bing,resnet,google,20/80,surrogate,0.90125173
209,bing,resnet,google,30/70,surrogate,0.9214559
210,bing,resnet,google,40/60,surrogate,0.93412584
211,bing,resnet,google,50/50,surrogate,0.9427711
212,bing,vgg,google,20/80,surrogate,0.8966157
213,bing,vgg,google,30/70,surrogate,0.9152061
214,bing,vgg,google,40/60,surrogate,0.93617016
215,bing,vgg,google,50/50,surrogate,0.9382968
216,google,alexnet,bing,20/80,FGSM,0.80798006
217,google,alexnet,bing,30/70,FGSM,0.84361035
218,google,alexnet,bing,40/60,FGSM,0.8647388
219,google,alexnet,bing,50/50,FGSM,0.86692756
220,google,resnet,bing,20/80,FGSM,0.88270193
221,google,resnet,bing,30/70,FGSM,0.91373503
222,google,resnet,bing,40/60,FGSM,0.9230769
223,google,resnet,bing,50/50,FGSM,0.9222109
224,google,vgg,bing,20/80,FGSM,0.89537036
225,google,vgg,bing,30/70,FGSM,0.91920656
226,google,vgg,bing,40/60,FGSM,0.9203713
227,google,vgg,bing,50/50,FGSM,0.9162814
228,google,alexnet,google,20/80,FGSM,0.8358862
229,google,alexnet,google,30/70,FGSM,0.85939676
230,google,alexnet,google,40/60,FGSM,0.86314756
231,google,alexnet,google,50/50,FGSM,0.8648369
232,google,resnet,google,20/80,FGSM,0.88726604
233,google,resnet,google,30/70,FGSM,0.9200386
234,google,resnet,google,40/60,FGSM,0.9308618
235,google,resnet,google,50/50,FGSM,0.9261538
236,google,vgg,google,20/80,FGSM,0.8995349
237,google,vgg,google,30/70,FGSM,0.92322636
238,google,vgg,google,40/60,FGSM,0.9341318
239,google,vgg,google,50/50,FGSM,0.9289729
240,google,alexnet,bing,20/80,PGD,0.8251808
241,google,alexnet,bing,30/70,PGD,0.8412132
242,google,alexnet,bing,40/60,PGD,0.8625059
243,google,alexnet,bing,50/50,PGD,0.86301374
244,google,resnet,bing,20/80,PGD,0.88767123
245,google,resnet,bing,30/70,PGD,0.9133557
246,google,resnet,bing,40/60,PGD,0.92367905
247,google,resnet,bing,50/50,PGD,0.9266802
248,google,vgg,bing,20/80,PGD,0.8982259
249,google,vgg,bing,30/70,PGD,0.9171913
250,google,vgg,bing,40/60,PGD,0.918408
251,google,vgg,bing,50/50,PGD,0.91246134
252,google,alexnet,google,20/80,PGD,0.8304647
253,google,alexnet,google,30/70,PGD,0.85647935
254,google,alexnet,google,40/60,PGD,0.86468
255,google,alexnet,google,50/50,PGD,0.8665636
256,google,resnet,google,20/80,PGD,0.8941824
257,google,resnet,google,30/70,PGD,0.9124821
258,google,resnet,google,40/60,PGD,0.9268293
259,google,resnet,google,50/50,PGD,0.9241026
260,google,vgg,google,20/80,PGD,0.901027
261,google,vgg,google,30/70,PGD,0.9250972
262,google,vgg,google,40/60,PGD,0.9292929
263,google,vgg,google,50/50,PGD,0.9241803
264,google,alexnet,bing,20/80,adaptive,0.7646356
265,google,alexnet,bing,30/70,adaptive,0.8061947
