,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
210,bing,resnet,google,40/60,surrogate,0.9770688
211,bing,resnet,google,50/50,surrogate,0.979
212,bing,vgg,google,20/80,surrogate,0.9722087
213,bing,vgg,google,30/70,surrogate,0.9822135
214,bing,vgg,google,40/60,surrogate,0.98214287
215,bing,vgg,google,50/50,surrogate,0.98203593
216,google,alexnet,bing,20/80,FGSM,0.94
217,google,alexnet,bing,30/70,FGSM,0.9461948
218,google,alexnet,bing,40/60,FGSM,0.9502708
219,google,alexnet,bing,50/50,FGSM,0.96063775
220,google,resnet,bing,20/80,FGSM,0.9730524
221,google,resnet,bing,30/70,FGSM,0.9776896
222,google,resnet,bing,40/60,FGSM,0.9820538
223,google,resnet,bing,50/50,FGSM,0.9844142
224,google,vgg,bing,20/80,FGSM,0.9792695
225,google,vgg,bing,30/70,FGSM,0.98653364
226,google,vgg,bing,40/60,FGSM,0.98802394
227,google,vgg,bing,50/50,FGSM,0.9874812
228,google,alexnet,google,20/80,FGSM,0.94505495
229,google,alexnet,google,30/70,FGSM,0.9488417
230,google,alexnet,google,40/60,FGSM,0.9589718
231,google,alexnet,google,50/50,FGSM,0.9614808
232,google,resnet,google,20/80,FGSM,0.96605235
233,google,resnet,google,30/70,FGSM,0.977887
234,google,resnet,google,40/60,FGSM,0.98347515
235,google,resnet,google,50/50,FGSM,0.98642534
236,google,vgg,google,20/80,FGSM,0.9731314
237,google,vgg,google,30/70,FGSM,0.9817103
238,google,vgg,google,40/60,FGSM,0.98852867
239,google,vgg,google,50/50,FGSM,0.990457
240,google,alexnet,bing,20/80,PGD,0.9450867
241,google,alexnet,bing,30/70,PGD,0.9469112
242,google,alexnet,bing,40/60,PGD,0.95535713
243,google,alexnet,bing,50/50,PGD,0.95928496
244,google,resnet,bing,20/80,PGD,0.9720451
245,google,resnet,bing,30/70,PGD,0.97870237
246,google,resnet,bing,40/60,PGD,0.9830677
247,google,resnet,bing,50/50,PGD,0.9834254
248,google,vgg,bing,20/80,PGD,0.9802567
249,google,vgg,bing,30/70,PGD,0.98556495
250,google,vgg,bing,40/60,PGD,0.988
251,google,vgg,bing,50/50,PGD,0.9889668
252,google,alexnet,google,20/80,PGD,0.9354078
253,google,alexnet,google,30/70,PGD,0.9491526
254,google,alexnet,google,40/60,PGD,0.9605523
255,google,alexnet,google,50/50,PGD,0.9640719
256,google,resnet,google,20/80,PGD,0.9721544
257,google,resnet,google,30/70,PGD,0.98068357
258,google,resnet,google,40/60,PGD,0.98456943
259,google,resnet,google,50/50,PGD,0.9849094
260,google,vgg,google,20/80,PGD,0.977887
261,google,vgg,google,30/70,PGD,0.9841584
262,google,vgg,google,40/60,PGD,0.9875312
263,google,vgg,google,50/50,PGD,0.990457
264,google,alexnet,bing,20/80,adaptive,0.9118597
265,google,alexnet,bing,30/70,adaptive,0.945131
266,google,alexnet,bing,40/60,adaptive,0.9412916
267,google,alexnet,bing,50/50,adaptive,0.947
268,google,resnet,bing,20/80,adaptive,0.89327353
269,google,resnet,bing,30/70,adaptive,0.95804197
270,google,resnet,bing,40/60,adaptive,0.95284396
271,google,resnet,bing,50/50,adaptive,0.93887293
272,google,vgg,bing,20/80,adaptive,0.8668113
273,google,vgg,bing,30/70,adaptive,0.937708
274,google,vgg,bing,40/60,adaptive,0.96402174
275,google,vgg,bing,50/50,adaptive,0.95864475
276,google,alexnet,google,20/80,adaptive,0.92970943
277,google,alexnet,google,30/70,adaptive,0.9414006
278,google,alexnet,google,40/60,adaptive,0.9360076
279,google,alexnet,google,50/50,adaptive,0.94936705
280,google,resnet,google,20/80,adaptive,0.9182156
281,google,resnet,google,30/70,adaptive,0.9495435
282,google,resnet,google,40/60,adaptive,0.9485936
283,google,resnet,google,50/50,adaptive,0.9623389
284,google,vgg,google,20/80,adaptive,0.92994833
285,google,vgg,google,30/70,adaptive,0.9598811
286,google,vgg,google,40/60,adaptive,0.9575099
287,google,vgg,google,50/50,adaptive,0.95816326
288,google,alexnet,bing,20/80,curriculum,0.94010544
289,google,alexnet,bing,30/70,curriculum,0.94803923
290,google,alexnet,bing,40/60,curriculum,0.9538462
291,google,alexnet,bing,50/50,curriculum,0.95145637
292,google,resnet,bing,20/80,curriculum,0.974359
293,google,resnet,bing,30/70,curriculum,0.9792695
294,google,resnet,bing,40/60,curriculum,0.9840319
295,google,resnet,bing,50/50,curriculum,0.9855217
296,google,vgg,bing,20/80,curriculum,0.97114915
297,google,vgg,bing,30/70,curriculum,0.9825957
298,google,vgg,bing,40/60,curriculum,0.98450774
299,google,vgg,bing,50/50,curriculum,0.98592967
300,google,alexnet,google,20/80,curriculum,0.9340245
301,google,alexnet,google,30/70,curriculum,0.9507722
302,google,alexnet,google,40/60,curriculum,0.9544574
303,google,alexnet,google,50/50,curriculum,0.96051973
304,google,resnet,google,20/80,curriculum,0.96836984
