,attack,model,dataset,balance,best_eps
164,InvertColor,vgg,google,20_80,1.0
165,InvertColor,vgg,google,30_70,1.0
166,InvertColor,vgg,google,40_60,1.0
167,InvertColor,vgg,google,50_50,1.0
168,PGD,alexnet,bing,20_80,0.2
169,PGD,alexnet,bing,30_70,0.2
170,PGD,alexnet,bing,40_60,0.2
171,PGD,alexnet,bing,50_50,0.2
172,PGD,resnet,bing,20_80,0.15
173,PGD,resnet,bing,30_70,0.1
174,PGD,resnet,bing,40_60,0.1
175,PGD,resnet,bing,50_50,0.2
176,PGD,vgg,bing,20_80,0.1
177,PGD,vgg,bing,30_70,0.2
178,PGD,vgg,bing,40_60,0.1
179,PGD,vgg,bing,50_50,0.1
180,PGD,alexnet,google,20_80,0.15
181,PGD,alexnet,google,30_70,0.1
182,PGD,alexnet,google,40_60,0.1
183,PGD,alexnet,google,50_50,0.2
184,PGD,resnet,google,20_80,0.2
185,PGD,resnet,google,30_70,0.1
186,PGD,resnet,google,40_60,0.1
187,PGD,resnet,google,50_50,0.05
188,PGD,vgg,google,20_80,0.1
189,PGD,vgg,google,30_70,0.1
190,PGD,vgg,google,40_60,0.1
191,PGD,vgg,google,50_50,0.1
192,RandomBlackBox,alexnet,bing,20_80,200.0
193,RandomBlackBox,alexnet,bing,30_70,180.0
194,RandomBlackBox,alexnet,bing,40_60,180.0
195,RandomBlackBox,alexnet,bing,50_50,180.0
196,RandomBlackBox,resnet,bing,20_80,200.0
197,RandomBlackBox,resnet,bing,30_70,200.0
198,RandomBlackBox,resnet,bing,40_60,200.0
199,RandomBlackBox,resnet,bing,50_50,200.0
200,RandomBlackBox,vgg,bing,20_80,200.0
201,RandomBlackBox,vgg,bing,30_70,200.0
202,RandomBlackBox,vgg,bing,40_60,200.0
203,RandomBlackBox,vgg,bing,50_50,200.0
204,RandomBlackBox,alexnet,google,20_80,200.0
205,RandomBlackBox,alexnet,google,30_70,200.0
206,RandomBlackBox,alexnet,google,40_60,200.0
207,RandomBlackBox,alexnet,google,50_50,200.0
208,RandomBlackBox,resnet,google,20_80,200.0
209,RandomBlackBox,resnet,google,30_70,180.0
210,RandomBlackBox,resnet,google,40_60,200.0
211,RandomBlackBox,resnet,google,50_50,200.0
212,RandomBlackBox,vgg,google,20_80,200.0
213,RandomBlackBox,vgg,google,30_70,200.0
214,RandomBlackBox,vgg,google,40_60,200.0
215,RandomBlackBox,vgg,google,50_50,200.0
216,RFGSM,alexnet,bing,20_80,0.3
217,RFGSM,alexnet,bing,30_70,0.3
218,RFGSM,alexnet,bing,40_60,0.3
219,RFGSM,alexnet,bing,50_50,0.3
220,RFGSM,resnet,bing,20_80,0.3
221,RFGSM,resnet,bing,30_70,0.3
222,RFGSM,resnet,bing,40_60,0.3
223,RFGSM,resnet,bing,50_50,0.3
224,RFGSM,vgg,bing,20_80,0.2
225,RFGSM,vgg,bing,30_70,0.25
226,RFGSM,vgg,bing,40_60,0.25
227,RFGSM,vgg,bing,50_50,0.25
228,RFGSM,alexnet,google,20_80,0.3
229,RFGSM,alexnet,google,30_70,0.3
230,RFGSM,alexnet,google,40_60,0.3
231,RFGSM,alexnet,google,50_50,0.3
232,RFGSM,resnet,google,20_80,0.3
233,RFGSM,resnet,google,30_70,0.3
234,RFGSM,resnet,google,40_60,0.3
235,RFGSM,resnet,google,50_50,0.3
236,RFGSM,vgg,google,20_80,0.3
237,RFGSM,vgg,google,30_70,0.1
238,RFGSM,vgg,google,40_60,0.3
239,RFGSM,vgg,google,50_50,0.1
240,SaltPepper,alexnet,bing,20_80,0.04
241,SaltPepper,alexnet,bing,30_70,0.05
242,SaltPepper,alexnet,bing,40_60,0.05
243,SaltPepper,alexnet,bing,50_50,0.05
244,SaltPepper,resnet,bing,20_80,0.05
245,SaltPepper,resnet,bing,30_70,0.05
246,SaltPepper,resnet,bing,40_60,0.05
247,SaltPepper,resnet,bing,50_50,0.05
248,SaltPepper,vgg,bing,20_80,0.04
249,SaltPepper,vgg,bing,30_70,0.05
250,SaltPepper,vgg,bing,40_60,0.05
251,SaltPepper,vgg,bing,50_50,0.05
252,SaltPepper,alexnet,google,20_80,0.03
253,SaltPepper,alexnet,google,30_70,0.03
254,SaltPepper,alexnet,google,40_60,0.03
255,SaltPepper,alexnet,google,50_50,0.03
256,SaltPepper,resnet,google,20_80,0.02
257,SaltPepper,resnet,google,30_70,0.03
258,SaltPepper,resnet,google,40_60,0.03
259,SaltPepper,resnet,google,50_50,0.03
260,SaltPepper,vgg,google,20_80,0.02
261,SaltPepper,vgg,google,30_70,0.03
262,SaltPepper,vgg,google,40_60,0.03
263,SaltPepper,vgg,google,50_50,0.03
264,SplitMergeRGB,alexnet,bing,20_80,1.0
265,SplitMergeRGB,alexnet,bing,30_70,1.0
266,SplitMergeRGB,alexnet,bing,40_60,1.0
267,SplitMergeRGB,alexnet,bing,50_50,1.0
268,SplitMergeRGB,resnet,bing,20_80,1.0
269,SplitMergeRGB,resnet,bing,30_70,1.0
270,SplitMergeRGB,resnet,bing,40_60,1.0
271,SplitMergeRGB,resnet,bing,50_50,1.0
272,SplitMergeRGB,vgg,bing,20_80,1.0
273,SplitMergeRGB,vgg,bing,30_70,1.0
274,SplitMergeRGB,vgg,bing,40_60,1.0
275,SplitMergeRGB,vgg,bing,50_50,1.0
276,SplitMergeRGB,alexnet,google,20_80,1.0
277,SplitMergeRGB,alexnet,google,30_70,1.0
278,SplitMergeRGB,alexnet,google,40_60,1.0
279,SplitMergeRGB,alexnet,google,50_50,1.0
280,SplitMergeRGB,resnet,google,20_80,1.0
281,SplitMergeRGB,resnet,google,30_70,1.0
282,SplitMergeRGB,resnet,google,40_60,1.0
283,SplitMergeRGB,resnet,google,50_50,1.0
284,SplitMergeRGB,vgg,google,20_80,1.0
285,SplitMergeRGB,vgg,google,30_70,1.0
286,SplitMergeRGB,vgg,google,40_60,1.0
287,SplitMergeRGB,vgg,google,50_50,1.0
288,Square,alexnet,bing,20_80,0.3
289,Square,alexnet,bing,30_70,0.3
290,Square,alexnet,bing,40_60,0.2
291,Square,alexnet,bing,50_50,0.2
292,Square,resnet,bing,20_80,0.3
293,Square,resnet,bing,30_70,0.3
294,Square,resnet,bing,40_60,0.2
295,Square,resnet,bing,50_50,0.1
296,Square,vgg,bing,20_80,0.3
297,Square,vgg,bing,30_70,0.1
298,Square,vgg,bing,40_60,0.2
299,Square,vgg,bing,50_50,0.2
300,Square,alexnet,google,20_80,0.3
301,Square,alexnet,google,30_70,0.3
302,Square,alexnet,google,40_60,0.2
303,Square,alexnet,google,50_50,0.2
304,Square,resnet,google,20_80,0.3
305,Square,resnet,google,30_70,0.1
306,Square,resnet,google,40_60,0.1
307,Square,resnet,google,50_50,0.1
308,Square,vgg,google,20_80,0.2
309,Square,vgg,google,30_70,0.2
310,Square,vgg,google,40_60,0.1
311,Square,vgg,google,50_50,0.1
312,TIFGSM,alexnet,bing,20_80,0.3
313,TIFGSM,alexnet,bing,30_70,0.3
314,TIFGSM,alexnet,bing,40_60,0.3
315,TIFGSM,alexnet,bing,50_50,0.3
316,TIFGSM,resnet,bing,20_80,0.3
317,TIFGSM,resnet,bing,30_70,0.3
318,TIFGSM,resnet,bing,40_60,0.3
319,TIFGSM,resnet,bing,50_50,0.3
320,TIFGSM,vgg,bing,20_80,0.3
321,TIFGSM,vgg,bing,30_70,0.3
322,TIFGSM,vgg,bing,40_60,0.3
323,TIFGSM,vgg,bing,50_50,0.3
324,TIFGSM,alexnet,google,20_80,0.3
325,TIFGSM,alexnet,google,30_70,0.3
326,TIFGSM,alexnet,google,40_60,0.3
327,TIFGSM,alexnet,google,50_50,0.3
328,TIFGSM,resnet,google,20_80,0.3
329,TIFGSM,resnet,google,30_70,0.3
330,TIFGSM,resnet,google,40_60,0.3
331,TIFGSM,resnet,google,50_50,0.3
332,TIFGSM,vgg,google,20_80,0.3
333,TIFGSM,vgg,google,30_70,0.3
334,TIFGSM,vgg,google,40_60,0.3
335,TIFGSM,vgg,google,50_50,0.25
